Date,WAC
1/1/2021,7003.0875
1/2/2021,0
1/3/2021,0
1/4/2021,3092.794286
1/5/2021,0
1/6/2021,0
1/7/2021,0
1/8/2021,0
1/9/2021,0
1/10/2021,0
1/11/2021,18635.05
1/12/2021,850
1/13/2021,0
1/14/2021,0
1/15/2021,2670
1/16/2021,0
1/17/2021,0
1/18/2021,1411.74
1/19/2021,1900.08
1/20/2021,4275
1/21/2021,6675
1/22/2021,3950
1/23/2021,0
1/24/2021,0
1/25/2021,18194.61667
1/26/2021,290
1/27/2021,0
1/28/2021,0
1/29/2021,1737
1/30/2021,0
1/31/2021,0
2/1/2021,8447.978
2/2/2021,3868.722
2/3/2021,0
2/4/2021,0
2/5/2021,8315.19
2/6/2021,0
2/7/2021,0
2/8/2021,138411.4633
2/9/2021,1040.93
2/10/2021,4924.993333
2/11/2021,1395.394
2/12/2021,1761.25
2/13/2021,0
2/14/2021,0
2/15/2021,1284.22
2/16/2021,10796.996
2/17/2021,0
2/18/2021,1344.025
2/19/2021,1782.14
2/20/2021,0
2/21/2021,0
2/22/2021,896.44
2/23/2021,0
2/24/2021,695
2/25/2021,1249.85
2/26/2021,1369.86
2/27/2021,0
2/28/2021,0
3/1/2021,7887.81
3/2/2021,0
3/3/2021,1778.995
3/4/2021,2077
3/5/2021,3462.905
3/6/2021,0
3/7/2021,0
3/8/2021,13823.895
3/9/2021,0
3/10/2021,8308
3/11/2021,0
3/12/2021,1318.5
3/13/2021,0
3/14/2021,0
3/15/2021,0
3/16/2021,1005.645
3/17/2021,0
3/18/2021,0
3/19/2021,0
3/20/2021,0
3/21/2021,0
3/22/2021,0
3/23/2021,997.82
3/24/2021,12191.16
3/25/2021,0
3/26/2021,252169.944
3/27/2021,0
3/28/2021,0
3/29/2021,0
3/30/2021,14940
3/31/2021,0
4/1/2021,840
4/2/2021,0
4/3/2021,0
4/4/2021,0
4/5/2021,0
4/6/2021,870.48
4/7/2021,0
4/8/2021,0
4/9/2021,0
4/10/2021,0
4/11/2021,0
4/12/2021,861.36
4/13/2021,0
4/14/2021,0
4/15/2021,2795.79
4/16/2021,0
4/17/2021,0
4/18/2021,0
4/19/2021,0
4/20/2021,1400
4/21/2021,0
4/22/2021,0
4/23/2021,10369.38
4/24/2021,0
4/25/2021,0
4/26/2021,0
4/27/2021,1257.515
4/28/2021,80
4/29/2021,868.595
4/30/2021,790.0125
5/1/2021,12977.93
5/2/2021,4700.1
5/3/2021,1181.153333
5/4/2021,997.1
5/5/2021,0
5/6/2021,0
5/7/2021,852.53
5/8/2021,0
5/9/2021,0
5/10/2021,2629.99
5/11/2021,0
5/12/2021,3143
5/13/2021,0
5/14/2021,0
5/15/2021,0
5/16/2021,0
5/17/2021,2437.27
5/18/2021,4403.84
5/19/2021,0
5/20/2021,3704.82
5/21/2021,0
5/22/2021,0
5/23/2021,0
5/24/2021,2986.43
5/25/2021,977
5/26/2021,4600
5/27/2021,0
5/28/2021,0
5/29/2021,6148.08
5/30/2021,737.04
5/31/2021,1695.775
6/1/2021,2839.58
6/2/2021,0
6/3/2021,10338.77
6/4/2021,1800
6/5/2021,0
6/6/2021,0
6/7/2021,12565.37
6/8/2021,0
6/9/2021,0
6/10/2021,370
6/11/2021,0
6/12/2021,0
6/13/2021,0
6/14/2021,1086.193333
6/15/2021,1339.585714
6/16/2021,21500
6/17/2021,1540.21
6/18/2021,5000
6/19/2021,0
6/20/2021,0
6/21/2021,12940
6/22/2021,802.5066667
6/23/2021,1026.54
6/24/2021,0
6/25/2021,821.56
6/26/2021,0
6/27/2021,0
6/28/2021,0
6/29/2021,0
6/30/2021,0
7/1/2021,4727.7
7/2/2021,0
7/3/2021,0
7/4/2021,0
7/5/2021,0
7/6/2021,1226
7/7/2021,4884
7/8/2021,0
7/9/2021,0
7/10/2021,0
7/11/2021,0
7/12/2021,6339.58
7/13/2021,0
7/14/2021,4964.48
7/15/2021,7019.57
7/16/2021,0
7/17/2021,0
7/18/2021,0
7/19/2021,870.1875
7/20/2021,19800
7/21/2021,1516
7/22/2021,0
7/23/2021,0
7/24/2021,0
7/25/2021,0
7/26/2021,0
7/27/2021,0
7/28/2021,0
7/29/2021,0
7/30/2021,0
7/31/2021,0
8/1/2021,0
8/2/2021,2799.02
8/3/2021,0
8/4/2021,0
8/5/2021,0
8/6/2021,0
8/7/2021,0
8/8/2021,0
8/9/2021,2160
8/10/2021,0
8/11/2021,1800
8/12/2021,19200
8/13/2021,0
8/14/2021,0
8/15/2021,5646.666667
8/16/2021,7278.44
8/17/2021,1714.9
8/18/2021,0
8/19/2021,0
8/20/2021,1640
8/21/2021,0
8/22/2021,0
8/23/2021,12565.37
8/24/2021,0
8/25/2021,0
8/26/2021,0
8/27/2021,0
8/28/2021,0
8/29/2021,0
8/30/2021,26400
8/31/2021,0
9/1/2021,0
9/2/2021,1413.905
9/3/2021,1036.6
9/4/2021,0
9/5/2021,0
9/6/2021,0
9/7/2021,0
9/8/2021,0
9/9/2021,4324.06
9/10/2021,0
9/11/2021,0
9/12/2021,0
9/13/2021,123.78
9/14/2021,0
9/15/2021,0
9/16/2021,3249.986667
9/17/2021,869.315
9/18/2021,0
9/19/2021,0
9/20/2021,15442.5
9/21/2021,0
9/22/2021,763.57
9/23/2021,1194
9/24/2021,987.8266667
9/25/2021,7215.73
9/26/2021,0
9/27/2021,0
9/28/2021,0
9/29/2021,46500
9/30/2021,0
10/1/2021,0
10/2/2021,0
10/3/2021,0
10/4/2021,0
10/5/2021,0
10/6/2021,0
10/7/2021,0
10/8/2021,0
10/9/2021,0
10/10/2021,0
10/11/2021,0
10/12/2021,0
10/13/2021,0
10/14/2021,0
10/15/2021,0
10/16/2021,0
10/17/2021,0
10/18/2021,0
10/19/2021,0
10/20/2021,0
10/21/2021,0
10/22/2021,0
10/23/2021,0
10/24/2021,0
10/25/2021,0
10/26/2021,0
10/27/2021,0
10/28/2021,0
10/29/2021,0
10/30/2021,0
10/31/2021,0
11/1/2021,0
11/2/2021,0
11/3/2021,0
11/4/2021,0
11/5/2021,0
11/6/2021,0
11/7/2021,0
11/8/2021,0
11/9/2021,0
11/10/2021,0
11/11/2021,0
11/12/2021,0
11/13/2021,0
11/14/2021,0
11/15/2021,0
11/16/2021,0
11/17/2021,0
11/18/2021,0
11/19/2021,0
11/20/2021,0
11/21/2021,0
11/22/2021,0
11/23/2021,0
11/24/2021,0
11/25/2021,0
11/26/2021,0
11/27/2021,0
11/28/2021,0
11/29/2021,0
11/30/2021,0
12/1/2021,0
12/2/2021,0
12/3/2021,0
12/4/2021,0
12/5/2021,0
12/6/2021,0
12/7/2021,0
12/8/2021,0
12/9/2021,0
12/10/2021,0
12/11/2021,0
12/12/2021,0
12/13/2021,0
12/14/2021,0
12/15/2021,0
12/16/2021,0
12/17/2021,0
12/18/2021,0
12/19/2021,0
12/20/2021,0
12/21/2021,0
12/22/2021,0
12/23/2021,0
12/24/2021,0
12/25/2021,0
12/26/2021,0
12/27/2021,0
12/28/2021,0
12/29/2021,0
12/30/2021,0
12/31/2021,0
